,POS_Trigram,Frequency,Rel_Frequency
0,"('X', 'ADP', 'PUNCT')",1,1.580139292438907e-07
99,"('PRON', 'X', 'PART')",1,1.580139292438907e-07
101,"('CONJ', 'CONJ', 'PART')",1,1.580139292438907e-07
102,"('NUM', 'X', 'ADJ')",1,1.580139292438907e-07
103,"('INTJ', 'NUM', 'INTJ')",1,1.580139292438907e-07
104,"('PART', 'CONJ', 'X')",1,1.580139292438907e-07
105,"('PUNCT', 'NUM', 'SYM')",1,1.580139292438907e-07
106,"('DET', 'X', 'INTJ')",1,1.580139292438907e-07
107,"('DET', 'VERB', 'SYM')",1,1.580139292438907e-07
108,"('PART', 'X', 'PROPN')",1,1.580139292438907e-07
109,"('CONJ', 'VERB', 'SYM')",1,1.580139292438907e-07
110,"('PUNCT', 'ADJ', 'SYM')",1,1.580139292438907e-07
111,"('SYM', 'NUM', 'INTJ')",1,1.580139292438907e-07
112,"('ADV', 'DET', 'SYM')",1,1.580139292438907e-07
113,"('ADJ', 'SYM', 'ADJ')",1,1.580139292438907e-07
114,"('SYM', 'ADJ', 'CONJ')",1,1.580139292438907e-07
98,"('NUM', 'X', 'ADP')",1,1.580139292438907e-07
97,"('SYM', 'PUNCT', 'X')",1,1.580139292438907e-07
96,"('CONJ', 'DET', 'X')",1,1.580139292438907e-07
95,"('NUM', 'PART', 'INTJ')",1,1.580139292438907e-07
79,"('PUNCT', 'PUNCT', 'SYM')",1,1.580139292438907e-07
80,"('ADV', 'SYM', 'PUNCT')",1,1.580139292438907e-07
81,"('SYM', 'PUNCT', 'PROPN')",1,1.580139292438907e-07
82,"('NUM', 'X', 'PROPN')",1,1.580139292438907e-07
83,"('NOUN', 'SYM', 'DET')",1,1.580139292438907e-07
84,"('NOUN', 'SYM', 'ADJ')",1,1.580139292438907e-07
85,"('SYM', 'ADJ', 'NOUN')",1,1.580139292438907e-07
115,"('SYM', 'PROPN', 'ADP')",1,1.580139292438907e-07
86,"('PROPN', 'SYM', 'ADV')",1,1.580139292438907e-07
88,"('PUNCT', 'INTJ', 'PART')",1,1.580139292438907e-07
89,"('PUNCT', 'ADP', 'PART')",1,1.580139292438907e-07
90,"('ADJ', 'SYM', 'ADV')",1,1.580139292438907e-07
91,"('PART', 'DET', 'INTJ')",1,1.580139292438907e-07
92,"('ADJ', 'ADV', 'SYM')",1,1.580139292438907e-07
93,"('X', 'DET', 'PRON')",1,1.580139292438907e-07
94,"('CONJ', 'PUNCT', 'X')",1,1.580139292438907e-07
87,"('SYM', 'ADV', 'PROPN')",1,1.580139292438907e-07
78,"('SYM', 'NOUN', 'ADV')",1,1.580139292438907e-07
116,"('NUM', 'X', 'CONJ')",1,1.580139292438907e-07
118,"('NUM', 'INTJ', 'X')",1,1.580139292438907e-07
139,"('ADJ', 'PROPN', 'SYM')",1,1.580139292438907e-07
140,"('PROPN', 'SYM', 'VERB')",1,1.580139292438907e-07
141,"('SYM', 'VERB', 'DET')",1,1.580139292438907e-07
142,"('PART', 'PRON', 'NUM')",1,1.580139292438907e-07
143,"('X', 'NUM', 'PRON')",1,1.580139292438907e-07
