,POS_Bigram,Frequency,Rel_Frequency
0,"('SYM', 'PRON')",3,4.3857539600799904e-07
1,"('PRON', 'SYM')",4,5.84767194677332e-07
2,"('SYM', 'PART')",4,5.84767194677332e-07
3,"('PUNCT', 'SYM')",5,7.30958993346665e-07
4,"('SYM', 'ADJ')",7,1.023342590685331e-06
5,"('CONJ', 'SYM')",7,1.023342590685331e-06
6,"('SYM', 'PUNCT')",9,1.3157261880239972e-06
7,"('SYM', 'ADV')",10,1.46191798669333e-06
8,"('SYM', 'PROPN')",11,1.608109785362663e-06
9,"('SYM', 'DET')",11,1.608109785362663e-06
10,"('PART', 'SYM')",11,1.608109785362663e-06
11,"('SYM', 'CONJ')",13,1.900493382701329e-06
12,"('DET', 'SYM')",15,2.1928769800399953e-06
13,"('SYM', 'VERB')",18,2.6314523760479943e-06
14,"('SYM', 'ADP')",18,2.6314523760479943e-06
15,"('PROPN', 'SYM')",21,3.0700277720559933e-06
16,"('ADJ', 'SYM')",21,3.0700277720559933e-06
17,"('X', 'NUM')",31,4.531945758749323e-06
18,"('SYM', 'NOUN')",31,4.531945758749323e-06
19,"('PART', 'X')",37,5.409096550765321e-06
20,"('X', 'PART')",40,5.84767194677332e-06
21,"('ADV', 'SYM')",46,6.724822738789318e-06
22,"('NOUN', 'SYM')",56,8.186740725482649e-06
23,"('VERB', 'SYM')",91,1.3303453678909303e-05
24,"('PUNCT', 'PART')",100,1.4619179866933302e-05
25,"('NUM', 'SYM')",101,1.4765371665602634e-05
26,"('PART', 'INTJ')",117,1.7104440444311964e-05
27,"('NUM', 'X')",123,1.7981591236327962e-05
28,"('ADP', 'SYM')",124,1.8127783034997294e-05
29,"('INTJ', 'PART')",126,1.842016663233596e-05
30,"('NUM', 'INTJ')",128,1.8712550229674624e-05
31,"('DET', 'X')",139,2.032066001503729e-05
32,"('X', 'DET')",145,2.1197810807053286e-05
33,"('CONJ', 'X')",154,2.2513536995077283e-05
34,"('PART', 'PUNCT')",158,2.3098304189754614e-05
35,"('PUNCT', 'X')",171,2.4998797572455945e-05
36,"('X', 'CONJ')",174,2.5437372968463944e-05
37,"('INTJ', 'X')",177,2.5875948364471943e-05
38,"('INTJ', 'NUM')",190,2.777644174717327e-05
39,"('X', 'PUNCT')",197,2.8799784337858604e-05
40,"('CONJ', 'CONJ')",204,2.9823126928543934e-05
41,"('X', 'INTJ')",230,3.362411369394659e-05
42,"('PRON', 'X')",240,3.5086031680639925e-05
43,"('X', 'ADP')",251,3.6694141466002586e-05
44,"('CONJ', 'PUNCT')",254,3.7132716862010585e-05
45,"('PUNCT', 'NUM')",260,3.800986765402658e-05
46,"('DET', 'INTJ')",293,4.283419701011457e-05
47,"('X', 'ADV')",307,4.488088219148523e-05
48,"('NUM', 'PUNCT')",338,4.941282795023456e-05
49,"('X', 'ADJ')",357,5.2190472124951886e-05
50,"('X', 'PRON')",367,5.365239011164522e-05
51,"('SYM', 'NUM')",368,5.3798581910314547e-05
52,"('DET', 'PART')",431,6.300866522648253e-05
53,"('ADV', 'X')",480,7.017206336127985e-05
54,"('X', 'PROPN')",481,7.031825515994917e-05
55,"('ADP', 'INTJ')",498,7.280351573732784e-05
56,"('DET', 'PUNCT')",509,7.44116255226905e-05
57,"('X', 'X')",511,7.470400912002916e-05
58,"('ADJ', 'X')",535,7.821261228809315e-05
59,"('ADP', 'X')",627,9.16622577656718e-05
60,"('X', 'VERB')",675,9.867946410179978e-05
61,"('NUM', 'PART')",710,0.00010379617705522643
62,"('PART', 'NUM')",769,0.00011242149317671709
63,"('PART', 'PART')",791,0.00011563771274744241
64,"('ADP', 'PUNCT')",815,0.0001191463159155064
65,"('PRON', 'NUM')",892,0.00013040308441304504
66,"('PROPN', 'X')",951,0.00013902840053453568
67,"('INTJ', 'PUNCT')",986,0.00014414511348796234
68,"('ADP', 'PART')",997,0.000145753223273325
69,"('PART', 'PRON')",1033,0.000151016128025421
70,"('VERB', 'X')",1038,0.00015174708701876766
71,"('PUNCT', 'CONJ')",1043,0.00015247804601211434
72,"('X', 'NOUN')",1099,0.00016066478673759698
73,"('CONJ', 'INTJ')",1162,0.00016987487005376496
74,"('PUNCT', 'ADP')",1192,0.00017426062401384494
75,"('PUNCT', 'INTJ')",1210,0.00017689207638989295
76,"('INTJ', 'CONJ')",1300,0.0001900493382701329
77,"('NUM', 'DET')",1358,0.00019852846259295424
78,"('CONJ', 'PART')",1419,0.00020744616231178355
79,"('DET', 'CONJ')",1439,0.0002103699982851702
80,"('PUNCT', 'ADJ')",1460,0.0002134400260572262
81,"('NUM', 'ADV')",1478,0.0002160714784332742
82,"('ADJ', 'INTJ')",1483,0.00021680243742662085
83,"('ADP', 'CONJ')",1591,0.0002325911516829088
84,"('NUM', 'PRON')",1604,0.00023449164506561014
85,"('PRON', 'INTJ')",1641,0.00023990074161637546
86,"('DET', 'DET')",1701,0.00024867224953653544
87,"('PUNCT', 'DET')",1733,0.0002533503870939541
88,"('PART', 'PROPN')",1734,0.0002534965788926234
89,"('PUNCT', 'ADV')",1970,0.000287997843378586
90,"('PART', 'CONJ')",2133,0.0003118271065616873
91,"('ADV', 'INTJ')",2199,0.0003214757652738633
92,"('PRON', 'PUNCT')",2229,0.00032586151923394327
93,"('ADJ', 'PUNCT')",2260,0.0003303934649926926
94,"('INTJ', 'ADP')",2270,0.00033185538297938593
95,"('ADV', 'PUNCT')",2408,0.00035202985119575387
96,"('PROPN', 'INTJ')",2543,0.00037176574401611383
97,"('CONJ', 'NUM')",2716,0.0003970569251859085
98,"('PUNCT', 'PROPN')",2751,0.00040217363813933513
99,"('PROPN', 'PUNCT')",2793,0.0004083136936834471
100,"('INTJ', 'DET')",2816,0.00041167610505284173
101,"('NUM', 'CONJ')",2829,0.00041357659843554306
102,"('PUNCT', 'NOUN')",2965,0.0004334586830545724
103,"('NUM', 'VERB')",3115,0.00045538745285497235
104,"('PRON', 'PROPN')",3123,0.000456556987244327
105,"('DET', 'PRON')",3196,0.0004672289885471883
106,"('NOUN', 'X')",3302,0.0004827253192061376
107,"('NUM', 'NUM')",3353,0.0004901811009382736
108,"('PUNCT', 'VERB')",3504,0.0005122560625373429
109,"('INTJ', 'INTJ')",3706,0.0005417868058685482
