,POS_Trigram,Frequency,Rel_Frequency,Forum_Freq,Freq_Diff,POS_1,POS_2,POS_3
0,"('SYM', 'ADP', 'ADV')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,SYM,ADP,ADV
76,"('NOUN', 'SYM', 'ADV')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,NOUN,SYM,ADV
75,"('PRON', 'DET', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PRON,DET,SYM
74,"('PART', 'X', 'NUM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PART,X,NUM
73,"('X', 'SYM', 'NUM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,X,SYM,NUM
72,"('NOUN', 'X', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,NOUN,X,SYM
71,"('ADJ', 'SYM', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,ADJ,SYM,SYM
70,"('CONJ', 'X', 'INTJ')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,CONJ,X,INTJ
69,"('PUNCT', 'SYM', 'PUNCT')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PUNCT,SYM,PUNCT
67,"('SYM', 'SYM', 'PUNCT')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,SYM,SYM,PUNCT
66,"('NUM', 'ADV', 'SYM')",1,4.254980017975589e-08,3.160278584877814e-07,-2.734780583080255e-07,NUM,ADV,SYM
77,"('SYM', 'PART', 'X')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,SYM,PART,X
65,"('X', 'ADV', 'PUNCT')",1,4.254980017975589e-08,3.160278584877814e-07,-2.734780583080255e-07,X,ADV,PUNCT
63,"('X', 'INTJ', 'ADV')",1,4.254980017975589e-08,2.3702089386583612e-06,-2.3276591384786053e-06,X,INTJ,ADV
62,"('INTJ', 'DET', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,INTJ,DET,SYM
61,"('PART', 'INTJ', 'X')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PART,INTJ,X
60,"('SYM', 'SYM', 'NUM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,SYM,SYM,NUM
59,"('SYM', 'PUNCT', 'NUM')",1,4.254980017975589e-08,3.160278584877814e-07,-2.734780583080255e-07,SYM,PUNCT,NUM
58,"('PUNCT', 'X', 'PART')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PUNCT,X,PART
57,"('SYM', 'PART', 'PRON')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,SYM,PART,PRON
56,"('SYM', 'SYM', 'VERB')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,SYM,SYM,VERB
55,"('ADV', 'SYM', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,ADV,SYM,SYM
54,"('PUNCT', 'PROPN', 'SYM')",1,4.254980017975589e-08,1.580139292438907e-07,-1.154641290641348e-07,PUNCT,PROPN,SYM
64,"('PRON', 'SYM', 'NOUN')",1,4.254980017975589e-08,1.580139292438907e-07,-1.154641290641348e-07,PRON,SYM,NOUN
53,"('ADV', 'PART', 'X')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,ADV,PART,X
78,"('PART', 'X', 'PART')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PART,X,PART
80,"('PUNCT', 'CONJ', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PUNCT,CONJ,SYM
102,"('PUNCT', 'PART', 'PART')",1,4.254980017975589e-08,1.580139292438907e-07,-1.154641290641348e-07,PUNCT,PART,PART
101,"('PUNCT', 'PART', 'CONJ')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PUNCT,PART,CONJ
100,"('DET', 'PUNCT', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,DET,PUNCT,SYM
99,"('PART', 'SYM', 'ADJ')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PART,SYM,ADJ
98,"('PROPN', 'PART', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PROPN,PART,SYM
97,"('PART', 'SYM', 'ADV')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PART,SYM,ADV
96,"('PRON', 'SYM', 'PROPN')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PRON,SYM,PROPN
95,"('X', 'PRON', 'PUNCT')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,X,PRON,PUNCT
94,"('SYM', 'PUNCT', 'INTJ')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,SYM,PUNCT,INTJ
93,"('ADJ', 'PART', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,ADJ,PART,SYM
79,"('SYM', 'CONJ', 'PUNCT')",1,4.254980017975589e-08,1.580139292438907e-07,-1.154641290641348e-07,SYM,CONJ,PUNCT
92,"('X', 'CONJ', 'CONJ')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,X,CONJ,CONJ
90,"('INTJ', 'ADV', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,INTJ,ADV,SYM
89,"('DET', 'DET', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,DET,DET,SYM
88,"('INTJ', 'PART', 'ADP')",1,4.254980017975589e-08,1.580139292438907e-07,-1.154641290641348e-07,INTJ,PART,ADP
87,"('SYM', 'SYM', 'ADP')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,SYM,SYM,ADP
86,"('VERB', 'SYM', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,VERB,SYM,SYM
85,"('X', 'NUM', 'ADV')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,X,NUM,ADV
84,"('NUM', 'ADJ', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,NUM,ADJ,SYM
83,"('CONJ', 'CONJ', 'X')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,CONJ,CONJ,X
82,"('INTJ', 'PART', 'PRON')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,INTJ,PART,PRON
81,"('SYM', 'CONJ', 'NUM')",1,4.254980017975589e-08,3.160278584877814e-07,-2.734780583080255e-07,SYM,CONJ,NUM
91,"('CONJ', 'PART', 'CONJ')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,CONJ,PART,CONJ
52,"('X', 'DET', 'DET')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,X,DET,DET
68,"('SYM', 'PUNCT', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,SYM,PUNCT,SYM
50,"('X', 'DET', 'PUNCT')",1,4.254980017975589e-08,1.580139292438907e-07,-1.154641290641348e-07,X,DET,PUNCT
23,"('SYM', 'ADJ', 'VERB')",1,4.254980017975589e-08,7.900696462194534e-07,-7.475198460396975e-07,SYM,ADJ,VERB
22,"('X', 'SYM', 'ADJ')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,X,SYM,ADJ
21,"('VERB', 'X', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,VERB,X,SYM
20,"('SYM', 'SYM', 'CONJ')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,SYM,SYM,CONJ
19,"('ADP', 'SYM', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,ADP,SYM,SYM
18,"('PART', 'CONJ', 'SYM')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,PART,CONJ,SYM
17,"('X', 'INTJ', 'NUM')",1,4.254980017975589e-08,1.580139292438907e-07,-1.154641290641348e-07,X,INTJ,NUM
16,"('SYM', 'PRON', 'CONJ')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,SYM,PRON,CONJ
15,"('ADJ', 'SYM', 'PUNCT')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,ADJ,SYM,PUNCT
14,"('SYM', 'ADV', 'VERB')",1,4.254980017975589e-08,4.740417877316722e-07,-4.314919875519163e-07,SYM,ADV,VERB
13,"('SYM', 'DET', 'ADV')",1,4.254980017975589e-08,0.0,4.254980017975589e-08,SYM,DET,ADV
