,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
AA,0.0,0.38418236394777394,0.28198358528841183,0.06598904664295575,0.44315868272302233,0.30016120333943985,0.5310372962253442,0.5867813359988404,0.5085198774402919,0.6792528796933236,0.3204224611952532,0.35964565518815006,0.35004338067059415,0.5869290859420117,0.5550626565169889,0.6457318450146169,0.3341470904069028,0.3855878808676846,0.59707422017364,0.5541340542876447,0.49136496132356505,0.5151683274094541,0.5116692091719944,0.823893895236895,0.35477268045982635,0.5278447147482528,0.5527073608613716,0.4765823695255958,0.488052728766836,0.6768215192214379,0.5309794360916194,0.6020001415925592,0.5442479703781763,0.42837985407905504,0.5467170831323326,0.6321180514752586,0.7199629285097747,0.5249955973615449,0.7903576887227797
AE,0.3697573550712953,0.0,0.2706457467306053,0.44456662947580583,0.3500826161726392,0.3111157055231724,0.5228249000959979,0.5396598084874318,0.5106948308556344,0.6646572833516109,0.1823024074549037,0.2878925134513004,0.3398413838634086,0.5805655493164735,0.561715315733138,0.6765286621479686,0.23582180675193937,0.3655087368171542,0.532089381453984,0.5525052997325082,0.5039506684105473,0.50858320761917,0.5192346075941876,0.895706570664904,0.3404875608861674,0.5902560083615888,0.5148517421709112,0.4262382033689891,0.4991178274689306,0.7189828624984904,0.5124174788846033,0.5857519285409353,0.6316164086655225,0.4495734411012374,0.5718981931034386,0.5153264169266472,0.7410589731516999,0.4895088164904145,0.7959754944406137
AH,0.27704978911266764,0.30012749702318314,0.0,0.3791322726146913,0.48203751244829324,0.32138745589313694,0.5497586477322463,0.5510080016409072,0.5095637680573845,0.6390289399935175,0.21450243637015995,0.24950726148516536,0.276430588039854,0.557168641645252,0.6013628828462355,0.667557181386035,0.22403200966533304,0.3367428916966474,0.5669939820567782,0.5202176147657555,0.4818852428479226,0.5517841781115977,0.5143216200717693,0.9440671377259546,0.3035214662137493,0.5384302673413375,0.5141905143242275,0.43784834622724933,0.4704263847407548,0.7096688864410436,0.5001312083271173,0.602166817166619,0.5874484540064834,0.42454448130368844,0.5670589498448688,0.5863859453002621,0.6775160799553839,0.5193887890457634,0.8203948043815611
AO,0.05650476745571461,0.41842206846553076,0.3581818853439329,0.0,0.5122212265500193,0.3586500670094749,0.5100816751988008,0.5901910027321724,0.49545623431501257,0.6400862230392625,0.3260213551145671,0.40367563066977524,0.3485886913313171,0.5197615946122779,0.527682970076116,0.6504775471900242,0.35340893275827756,0.4172569607610135,0.6057819110889803,0.5247793252175764,0.46002408462525074,0.5056171693325631,0.5208060902902291,0.9017633834753683,0.3161699445070057,0.5381960280302073,0.48271588832195933,0.5030256542646283,0.5070442250521777,0.6395512357324645,0.5232015577345425,0.6264209349807465,0.5411999431969441,0.47646955562636095,0.533696937628882,0.5802747766821459,0.720959575610418,0.540251647287383,0.7344647699330836
AW,0.29903613298333603,0.3098096399633256,0.3836069069985906,0.4394367852666254,0.0,0.3990691906835187,0.5186276366391346,0.5372599658111122,0.5246018426546459,0.6871616281161738,0.3928455030786995,0.4084049864293791,0.4325497395840787,0.5598995955599516,0.5982330607761028,0.6761000171761622,0.3814245233986315,0.42294978989718923,0.5228291841841826,0.5394298115481263,0.4402154205375047,0.5344440491131991,0.5004310931506974,0.8075394564470502,0.3482275670831623,0.5000182427535012,0.5214957526511941,0.4512683642991654,0.5235186618102995,0.6132146928854184,0.49424317102519316,0.5502916938127989,0.5400422170452813,0.490474678113914,0.6002371485955684,0.5654603258235508,0.7201692931348423,0.5008181413193064,0.7403194246785485
AY,0.2884713210620822,0.30321025550035213,0.30711030179314447,0.3766597246519873,0.45434611216145754,0.0,0.5199669510278082,0.6166639517456356,0.5309944202418886,0.6606200486203302,0.24406502947620068,0.281319046748796,0.21887371428300456,0.5647614953653497,0.5650322841941708,0.6691932048136793,0.2743428509887338,0.3445682774456327,0.6346011144131484,0.5490855653878579,0.4940242291098382,0.5443464105586846,0.4993460304836856,0.8596773098148474,0.3388143476568145,0.5283648071380534,0.4760800704775018,0.46396317274798055,0.5198125299990017,0.6909189170360626,0.5337129989801457,0.5537730211804386,0.5571676905598854,0.43428706697644115,0.5908388918970138,0.6103948701448161,0.7251603732836401,0.5281431709644524,0.7725492909740683
B,0.5414877027940252,0.5150571710506379,0.5333983794957301,0.5308027869970399,0.5906655172985826,0.5220043561469033,0.0,0.5095560473283067,0.37363238216499933,0.45584762361951575,0.4882877581564345,0.47698492883743815,0.5412095010564284,0.3784782274869104,0.3873279933861576,0.5474850894849521,0.5110285687225743,0.48238887376419803,0.4722292265656813,0.4456106869952588,0.47893890873648026,0.4243904058155191,0.45826141397833786,0.9239807422094491,0.49977672804606565,0.6625484103450835,0.2562859561033873,0.4731953715981144,0.4785508153989007,0.6105309851404137,0.48441798200404634,0.5376703749450674,0.6476630464476171,0.5256077129269063,0.23361204158952964,0.5507720749592662,0.7380180595828951,0.4330622338824712,0.7192098533853526
CH,0.5667980043719463,0.5015467825901986,0.5055132787065812,0.5848968627796809,0.5755007884969584,0.5827090584979485,0.4803401479288153,0.0,0.471451359955629,0.5099791226098894,0.4649493033003279,0.49212251790272543,0.4858372348115929,0.45541446881016595,0.5617203476704906,0.5319658883977672,0.5149252302791577,0.5361808559751828,0.1256349947135413,0.4876462910312573,0.5330014057973986,0.500065026003479,0.43138738589866255,0.8482787911548163,0.5223919972654949,0.686109107476573,0.4451255105776558,0.43621754256460343,0.3217302214661637,0.4893895572066052,0.4227641792821939,0.5233527774266511,0.6413673652625387,0.5121217614568815,0.4864265650644934,0.4698327996953334,0.6594049588567922,0.4512323100633137,0.6953097492663255
D,0.508522759941362,0.492329788622753,0.48480993227674896,0.5095403759444915,0.5831734492594332,0.5239886368993034,0.3956689494406473,0.48712551779969293,0.0,0.4752834872099481,0.47160426719979065,0.46579166749541945,0.4932294896177458,0.5182247071092914,0.4130670956051069,0.5419084592733068,0.46085538307248475,0.5005017383159736,0.41644202879357584,0.5391278147305187,0.4816679830213496,0.4834447851224512,0.5154248333450928,0.8473790334849375,0.4821028865548571,0.5975392857440888,0.5059601838723004,0.43934841423975785,0.45304648983507617,0.6445374831422664,0.17177979518932257,0.4951030521036434,0.6912023266035047,0.5734983028011051,0.4723002623198785,0.5761145556048424,0.6607321185534817,0.3772059434825159,0.7642615415729797
DH,0.5831551735809503,0.5494826313638536,0.520035087262195,0.5664436451956887,0.6562832121191094,0.5559513965320636,0.3814115793338578,0.45646935744496653,0.3750558961611669,0.0,0.49050303311708005,0.5002720061500409,0.5255805476537516,0.4978072618247417,0.4829889670951623,0.4388441800159607,0.5145755203503067,0.5370471931270505,0.43697964321178157,0.5065452905202229,0.42743614742729047,0.4603590173894221,0.39006450736194487,0.8108963819154651,0.5439024292545226,0.6714115997557537,0.46099735646529266,0.4597099651735259,0.47568367584559756,0.5504299093432934,0.47652321985259805,0.29796601089321734,0.6661241806702549,0.6082199623181225,0.4216875565986526,0.5171128504935597,0.6657134053483563,0.41408127395234345,0.6820314339191197
