,Word,POS,Title,Code,Level,Definition,Example,S_POS,T_IDX,Trigram,Visemes
0,new,adjective,DIFFERENT,,A1,different from before,I need some new shoes.,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['t', 'u']"
1,new,adjective,RECENTLY MADE,,A1,recently made,Their house is quite new - it's about five years old.,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['t', 'u']"
2,new,adjective,NOT KNOWN BEFORE,,A1,not known before,to discover a new gene/star,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['t', 'u']"
3,will,modal verb,FUTURE,,A2,"used to talk about what is going to happen in the future, especially things that you are certain about",Claire will be five next month.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['w', 'e', 'l']"
4,will,modal verb,ABLE/WILLING,,A1,used to talk about what someone or something is willing or able to do,Ask Susie if she'll take them.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['w', 'e', 'l']"
5,will,modal verb,ASK,,A2,used to ask someone to do something or to politely offer something to someone,Will you give me her address?,VERB,1.0,"['PRON', 'VERB', 'ADV']","['w', 'e', 'l']"
6,will,modal verb,IF,,A2,used in conditional sentences that start with 'if' and use the present tense,If he's late again I'll be very angry.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['w', 'e', 'l']"
7,will,modal verb,HAPPENING OFTEN,,A1,"used to talk about something that often happens, especially something annoying",Accidents will happen.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['w', 'e', 'l']"
8,home,noun,LIVE,"[ C,  U ]",A1,the place where you live or feel you belong,"I tried to call him, but he wasn't at home.",NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['e', 'e', 'b']"
9,home,noun,CARE,[ C ],A1,a place where people who need special care live,a children's home ,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['e', 'e', 'b']"
10,can,modal verb,ABILITY,,A1,to be able to do something,Anna can speak four languages.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e', 't']"
11,can,modal verb,PERMISSION,,A1,to be allowed to do something,You can't park here.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e', 't']"
12,can,modal verb,ASK,,A1,used to ask someone to do or provide something,Can you tell her to meet me outside?,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e', 't']"
13,can,modal verb,OFFER,,A1,used to politely offer to do something,Can I carry those bags for you?,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e', 't']"
14,can,modal verb,POSSIBLE,,A2,used to talk about what is possible,You can buy stamps from the shop on the corner.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e', 't']"
15,can,modal verb,TYPICAL,,B2,used to talk about how someone often behaves or what something is often like,She can be really rude at times.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e', 't']"
16,can,modal verb,SURPRISE,,B1,used to show surprise,You can't possibly be hungry already!,VERB,1.0,"['PRON', 'VERB', 'ADV']","['k', 'e', 't']"
17,page,noun,PAPER,,A1,"a piece of paper in a book, magazine, etc, or one side of a piece of paper",The article is on page 36.,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['b', 'e', 's']"
18,page,noun,INTERNET,(also web page),A2,one part of a website that you can see or print separatel,,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['b', 'e', 's']"
19,page,noun,ELECTRONIC,,A1,the text of an electronic document that you can see on a computer screen,You have to scroll down the page to find the information you're looking for.,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['b', 'e', 's']"
20,search,verb,TRY TO FIND,"[ I,  T ]",B1,to try to find someone or something,I've searched my bedroom but I can't find my watch.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['s', 'r', 's']"
21,search,verb,POLICE,[ T ],B2,"If the police search someone, they look in their clothes and bags to see if they are hiding anything illegal, such as drugs",They were searched at the airport.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['s', 'r', 's']"
22,search,verb,FIND ANSWER,[ I ],B2,to try to find an answer to a problem,Doctors are still searching for a cure.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['s', 'r', 's']"
23,search,verb,COMPUTER,,A2,to look for information on a computer or on the Internet,She searched the Internet for information about the area.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['s', 'r', 's']"
24,free,adjective,NOT CONTROLLED,,B2,"able to live, happen, or exist without being controlled by anyone or anything",free trade,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['f', 'r', 'i']"
25,free,adjective,NO COST,,A2,not costing any money,a free sample of perfume,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['f', 'r', 'i']"
26,free,adjective,NOT A PRISONER,,B2,not in prison or in a cage,He opened the cage and set the birds free.,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['f', 'r', 'i']"
27,free,adjective,NOT BUSY,,A2,not busy doing anything,Are you free this evening?,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['f', 'r', 'i']"
28,free,adjective,NOT USED,,A1,not being used by anyone,Is this seat free?,ADJ,1.0,"['DET', 'ADJ', 'NOUN']","['f', 'r', 'i']"
29,time,noun,HOURS/YEARS ETC,[ U ],A2,"Time is what we measure in minutes, hours, days, etc.",He wants to spend more time with his family.,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['t', 'e', 'b']"
30,time,noun,PARTICULAR POINT,"[ C,  U ]",A1,a particular point in the day or night,What time is it?,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['t', 'e', 'b']"
31,time,noun,PERIOD,[ no plural ],A2,"a period of minutes, hours, years, etc",I lived in Switzerland for a long time.,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['t', 'e', 'b']"
32,time,noun,OCCASION,[ C ],A2,an occasion when something happens,Give me a call the next time you're in Seattle.,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['t', 'e', 'b']"
33,time,noun,IN THE PAST,[ C ],B2,a period of time in the past,Did you enjoy your time in Japan?,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['t', 'e', 'b']"
34,time,noun,RACE,[ C ],A1,the amount of time that someone takes in a race,a winning time of three minutes,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['t', 'e', 'b']"
35,time,noun,IN A PLACE,[ U ],A1,the time in a particular place,"The plane arrives at 20.50, New York time.",NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['t', 'e', 'b']"
36,site,noun,HISTORY,[ C ],B1,the place where something important happened in the past,a historic site ,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['s', 'e', 't']"
37,site,noun,AREA,[ C ],B1,an area that is used for something or where something happens,a building site ,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['s', 'e', 't']"
38,site,noun,INTERNET,[ C ],A2,"short for website (= an area on the Internet where information about a particular subject, organization, etc can be found",,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['s', 'e', 't']"
39,may,modal verb,POSSIBLE,,B1,used to talk about what is possibly true or will possibly happen,There may be other problems that we don't know about.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['b', 'e']"
